P,Q,Fold Number,RMSE,RSS,MSE,MAE,MAPE,R2,durbin_watson,aic,bic
3,5,2,0.32496906969578493,119.12232298008874,0.10560489625894395,0.20201211503567348,0.008500236756422978,0.995378836337131,2.0143414340196957,-2517.8010121615002,-2472.547199272978
3,5,3,0.3132770764479738,110.70477003614671,0.09814252662778965,0.19125167576482704,0.00829063373642814,0.9957460730140513,2.0148934008257893,-2600.4653199641607,-2555.2115070756386
3,5,4,0.37683793681701494,160.1837049444411,0.1420068306245046,0.22569087979449778,0.010629542806493336,0.9947648500844997,1.9705970244202142,-2183.720774850504,-2138.4669619619817
3,5,5,0.38079204701582187,163.5629137035239,0.14500258307049976,0.22526535795865302,0.011215396631086682,0.9950468889775193,2.0742250875197694,-2160.172198913365,-2114.9183860248427
3,5,6,0.38501667254478583,167.2122814190536,0.1482378381374592,0.22960476829336807,0.01190663725899493,0.9948091663291272,2.0127591651235464,-2135.281252563877,-2090.027439675355
3,6,0,0.35965852482480554,145.91159905248713,0.12935425447915527,0.2218217984643581,0.00832264664713067,0.9925930587418897,2.0032181761862935,-2286.9861410702147,-2236.7041267496347
3,6,1,0.3357993544896426,127.19464090454521,0.1127612064756607,0.20761881246785063,0.008256569917969745,0.9948246806528657,2.0221387770002717,-2441.840726194621,-2391.558711874041
3,6,2,0.32470675701529506,118.93009124196777,0.1054344780513898,0.20058229763315363,0.00844001921929772,0.9953862936658737,2.0078512420955246,-2517.6227743850964,-2467.3407600645164
3,6,3,0.31300232800874545,110.51067587827275,0.09797045733889423,0.19113853345879037,0.008286136455563142,0.9957535312507264,2.015531157489727,-2600.4447320740032,-2550.1627177534233
3,6,4,0.3756521629511788,159.1772096137261,0.14111454752989905,0.22490421666975663,0.01059749835286488,0.9947977445287091,1.9840900632464444,-2188.830790135434,-2138.5487758148543
3,6,5,0.3889106855870756,170.61171609837672,0.151251521363809,0.2297731495420491,0.011449652197227997,0.9948334328825726,2.003445055465133,-2110.5789473283917,-2060.2969330078117
3,6,6,0.3811132787404827,163.8389896300579,0.14524733123232092,0.22721404052620742,0.011787274215026289,0.9949138846934208,2.061115637333449,-2156.2698659350335,-2105.9878516144536
3,7,0,0.360007781977246,146.19512027895087,0.12960560308417615,0.22206126246400976,0.008326131786393957,0.9925786662941098,2.010944343601743,-2282.7964479018246,-2227.4862321491864
3,7,1,0.3350852374918818,126.65422728226966,0.11228211638499079,0.20708167082791584,0.008237355461891516,0.9948466691034398,2.0258016610177196,-2444.643485341759,-2389.333269589121
3,7,2,0.32021878005252824,115.66519568691562,0.10254006709832962,0.19867296131458945,0.008361537467250213,0.9955129501675656,2.0615093213305133,-2547.0218705221387,-2491.7116547695005
3,7,3,0.3139803893558072,111.20239656722738,0.09858368490002425,0.19129495405280783,0.008292564332883022,0.9957269512821801,2.0057186630268835,-2591.4062344323115,-2536.0960186796733
3,7,4,0.37360114191938504,157.4437733386324,0.1395778132434685,0.22291219041902663,0.010500513308149474,0.994854396975175,1.995380763212849,-2199.1820603277306,-2143.8718445750924
3,7,5,0.38961363887264044,171.22903240781457,0.15179878759558038,0.23049499051026892,0.011486950306294489,0.994814738936938,1.9984194749656292,-2104.5049242224045,-2049.1947084697663
3,7,6,0.38987468531333525,171.45856083993823,0.1520022702481721,0.2326678977704795,0.012068278854518175,0.9946773474818105,1.9641559358751486,-2102.9938796718943,-2047.6836639192563
3,8,0,0.3614439585093705,147.36387724121775,0.13064173514292368,0.22406898669691394,0.008413363061865832,0.9925193364380824,1.9960145780777965,-2271.8145067559594,-2211.4760895712634
3,8,1,0.33915975483354194,129.75309472898806,0.11502933929874833,0.20969499524771343,0.008342369409039456,0.9947205818049722,1.9980152876078578,-2415.3767703496646,-2355.0383531649686
3,8,2,0.32442693420391827,118.72519859848356,0.10525283563695365,0.20023315702381894,0.008426487291873288,0.9953942421545798,2.008616322750812,-2515.5677675663364,-2455.2293503816404
3,8,3,0.3139045887886614,111.14871049298866,0.09853609086257856,0.19116997331728483,0.008289300481916331,0.9957290142162335,2.0059617740089855,-2589.950939549535,-2529.612522364839
3,8,4,0.3728422287791204,156.80477748878764,0.13901132756098178,0.22314766224111532,0.010525182603652542,0.9948752807415386,2.015641986446924,-2201.769437486069,-2141.431020301373
3,8,5,0.38816713069756004,169.95995768728565,0.15067372135397678,0.23008653674880175,0.011475939173976846,0.994853169824749,2.011631049854648,-2110.8963021866666,-2050.5578850019706
3,8,6,0.3859770620644861,168.0475138722435,0.14897829243993224,0.22953945122233596,0.011920946048329287,0.9947832378943003,2.0118568233001124,-2123.6608699853805,-2063.3224528006845
3,9,0,0.3631829174346898,148.78526595046839,0.13190183151637289,0.22551503943370554,0.008466874471970528,0.9924471821834329,1.98010984605956,-2258.9865924269207,-2193.619973810167
3,9,1,0.3392995277509662,129.86006323212837,0.1151241695320286,0.20944045609543793,0.008329225608062865,0.9947162294505028,1.991545554171386,-2412.4472298031237,-2347.0806111863694
3,9,2,0.32446818383881615,118.75539142108823,0.10527960232365982,0.20075445788891572,0.008452356035406816,0.9953930708713878,2.0127760258577307,-2513.2809440909646,-2447.9143254742103
3,9,3,0.31373331068885196,111.02744978596854,0.09842859023578779,0.1917904042901064,0.008316960360002916,0.9957336737642706,2.0135984071553876,-2589.182233590521,-2523.815614973767
3,9,4,0.3748197584708146,158.47255231165514,0.14048985134011985,0.2252611174496611,0.010623695801760143,0.9948207742533409,2.0066900196737674,-2187.835388506691,-2122.468769889937
3,9,5,0.3887637375950828,170.4828108585174,0.15113724366889825,0.23190893040775334,0.011567602749104872,0.9948373364689661,2.0221311911731554,-2105.4315269272547,-2040.0649083105006
3,9,6,0.3871450717293021,169.06611380451517,0.14988130656428644,0.23118928258762533,0.012003975826480913,0.9947516171139323,2.013534260960584,-2114.8442709167434,-2049.477652299989
3,10,0,0.35996485342004453,146.16025674702158,0.1295746956977145,0.22351150942221515,0.00838928663533414,0.9925804360789298,2.0166497210057766,-2277.06547708543,-2206.6706570366177
3,10,1,0.3383667678789148,129.1470545142408,0.11449206960482336,0.20949649292720074,0.008334505534090361,0.9947452404826195,2.008577942522092,-2416.6576835731566,-2346.2628635243445
4,1,0,0.3606206765086705,146.6933231832443,0.13004727232557095,0.22160916883693654,0.008313926688735753,0.9925533759150674,1.996327768026582,-2288.958990804478,-2258.78978221213
4,1,1,0.33674436117554396,127.91155067581644,0.1133967647835253,0.2076328064364245,0.008258713097690093,0.994795510893959,2.0123243147241325,-2443.500806760942,-2413.3315981685937
4,1,2,0.32343551365590023,118.00067952506959,0.10461053149385612,0.1989442002487041,0.008372636236762548,0.9954223487355409,2.010896413963629,-2534.4724631838913,-2504.303254591543
4,1,3,0.3135652476041292,110.90852956168382,0.09832316450503872,0.1903796472028062,0.008254222661248081,0.9957382433772249,2.0027210585452444,-2604.391068915246,-2574.2218603228976
4,1,4,0.37544060205624136,158.9979683184142,0.14095564567235286,0.2225722054793839,0.01046429422882222,0.9948036025218946,1.9574457006720927,-2198.101688788271,-2167.932480195923
4,1,5,0.38779667539623736,169.63570291376664,0.15038626144837475,0.22945510672682898,0.011421277481729082,0.9948629891038047,1.9956035308254039,-2125.050390345718,-2094.8811817533697
4,1,6,0.385204598831038,167.37555357953528,0.14838258296058104,0.22859644678856136,0.011837719117318613,0.9948040978101108,1.9970919081005858,-2140.1803696722895,-2110.0111610799413
4,2,0,0.35934052511685943,145.65369145414158,0.12912561299126024,0.21975861034972008,0.008245806332635268,0.9926061509596666,1.994512138724434,-2294.9817136317165,-2259.7843036073104
4,2,1,0.3378327540259313,128.73973381341685,0.11413096969274539,0.20716976291483297,0.008240088360622868,0.9947618136235039,1.9911399418983857,-2434.2209380971753,-2399.0235280727693
4,2,2,0.32320209711765385,117.83042381564925,0.10445959558124923,0.19881247985820807,0.008365152575053205,0.9954289535387222,2.0139458085161066,-2534.101158219201,-2498.903748194795
4,2,3,0.31255299935335806,110.19361771259211,0.09768937740478033,0.18955609757071565,0.008217551932863904,0.9957657144862515,2.0146274696575146,-2609.6856464313655,-2574.4882364069595
4,2,4,0.37142912061597466,155.6184193716755,0.13795959164155638,0.21971760114026304,0.010340177355028046,0.9949140534906064,1.999248386758435,-2220.3361406095582,-2185.138730585152
4,2,5,0.3881441006384361,169.9397907465542,0.15065584286042052,0.22914039804686426,0.011406311568020674,0.9948537805322387,1.9904932836829976,-2121.0301552376122,-2085.832745213206
4,2,6,0.38547743107224636,167.61273464891394,0.14859284986605842,0.2283809451563377,0.011831913852742536,0.9947967349090693,1.9966892502309674,-2136.583058361019,-2101.385648336613
4,3,0,0.3622078495425376,147.9874256328189,0.13119452627022957,0.2216131370984457,0.008310736032229578,0.9924876831196473,1.9650398820084962,-2275.0516116957747,-2234.826000239311
