P,Q,RMSE,RSS,MSE,MAE,MAPE,R2,durbin_watson,aic,bic
9,4,0.35139762655650664,139.45390174759962,0.12362934552092156,0.21809792233572606,0.008420889223218169,0.9935746171955451,1.9928950266195349,-2332.7703864589203,-2262.375566410108
9,5,0.3505065093885752,138.71300811168956,0.12297252492171054,0.2184061514329252,0.008432057671246801,0.9936140330908876,2.001973442395743,-2336.2175553083725,-2260.794533827502
9,6,0.3521573879781551,140.01413566762136,0.12412600679753674,0.21991303131391654,0.008495767001552475,0.9935555563096823,1.998280169062601,-2323.547208935198,-2243.0959860222697
9,7,0.36214121109720526,147.93297764214427,0.13114625677495068,0.22474543461783114,0.008433368561151212,0.9924904470744745,1.9970397076851314,-2257.466705305369,-2171.987280960383
9,8,0.36227397963743174,148.04146817160213,0.1312424363223423,0.2243375732066712,0.008419004137031597,0.9924849397468599,1.990771481125962,-2254.639760111686,-2164.1321343346417
10,1,0.3567891429604906,144.56055792899048,0.12815652298669364,0.21758712235867725,0.009741163012749804,0.994650705643555,2.004227025226783,-2308.794991692118,-2248.456574507422
10,2,0.33485005798775425,126.84425579795867,0.1124505813811691,0.2067289153200363,0.00838796099547122,0.994586516013776,2.0032788602804894,-2445.4755568142327,-2380.1089381974784
10,3,0.36431538310135797,149.71458775491826,0.13272569836428935,0.22755762509066305,0.00854204629491243,0.99240000682479,1.9808410735536284,-2249.962948232177,-2179.568128183365
10,4,0.3510556764772066,139.17056076746346,0.12337815670874415,0.21712538763926179,0.008385637104534369,0.9935894497842908,1.9849023212625707,-2332.868798310486,-2257.445776829616
10,5,0.3497662423623219,138.14172192582782,0.12246606553708153,0.2168842069103118,0.008374834984801658,0.9936381142431845,2.007840758252563,-2339.1019388902364,-2258.650715977308
10,6,0.35160364433949787,139.59489397988216,0.12375433863464724,0.21920881299191616,0.00846833798917395,0.993571503872366,1.9964765645882647,-2325.2653170137883,-2239.7858926688023
10,7,0.3620968115356782,147.8967058426154,0.13111410092430417,0.2259620254800932,0.008475606906586757,0.9924922883474795,2.015890892712562,-2255.7433143974117,-2165.2356886203675
10,8,0.36112516432204145,147.104041497869,0.1304113843066216,0.22313899544755816,0.008371384004615448,0.9925325265346905,1.9974305038991902,-2259.8051806183053,-2164.269353409203
